地区,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月,2012年12月,2012年11月,2012年10月,2012年9月,2012年8月,2012年7月,2012年6月,2012年5月,2012年4月,2012年3月,2012年2月,2012年1月,2011年12月,2011年11月,2011年10月,2011年9月,2011年8月,2011年7月,2011年6月,2011年5月,2011年4月,2011年3月,2011年2月,2011年1月
北京市,4195.67,4021.65,3732.32,3463.75,3011.45,2599.25,2265.44,1697.12,1265.08,924.08,451.77,,4178.46,3929.64,3636.62,3375.48,2932.53,2497.88,2063.09,1500.21,1171.65,841.74,424.15,,4139.03,3912.93,3558.00,3233.40,2813.64,2447.63,2043.38,1506.63,1092.12,773.00,386.08,,3938.71,3617.33,3330.28,2918.80,2479.80,2119.25,1730.25,1256.47,878.08,616.35,302.36,,3838.38,3489.97,3116.38,2740.89,2346.46,2031.95,1664.33,1212.43,880.84,658.70,339.41,,3873.35,3409.47,3002.94,2565.48,2114.99,1766.64,1429.88,1052.13,708.94,531.40,281.46,,3692.54,3218.50,2920.07,2600.71,2201.78,1855.39,1528.90,1169.59,857.87,607.14,288.78,,4000.57,3551.45,3168.71,2695.41,2256.71,1953.73,1607.59,1175.07,934.00,662.71,302.79,,4177.05,3681.27,3265.81,2847.01,2449.31,2093.03,1688.07,1223.49,949.58,667.73,264.30,,3715.33,3251.02,2837.20,2552.82,2179.92,1791.34,1434.88,1029.64,785.84,539.36,243.64,,3483.40,2864.10,2475.76,2234.60,1929.36,1609.02,1315.28,932.51,647.88,451.97,227.04,,3153.44,2810.54,2518.61,2203.72,1876.21,1624.39,1283.18,927.95,633.93,419.92,187.56,,3036.33,2790.10,2484.68,2196.16,1881.71,1563.80,1239.46,915.63,628.10,415.75,196.56,
天津市,1231.55,1104.95,1015.09,928.03,812.76,721.97,637.31,509.97,415.88,328.25,186.47,,2127.94,1995.60,1896.51,1800.34,1550.60,1344.50,1196.08,914.87,654.01,516.77,237.30,,2769.98,2624.24,2444.98,2280.51,2032.92,1839.27,1611.01,1206.98,887.34,621.82,242.65,,2608.54,2468.16,2301.52,2124.80,1863.84,1660.12,1452.48,1088.37,733.53,481.87,186.48,,2727.82,2569.69,2423.81,2261.83,1970.46,1772.75,1549.36,1198.52,866.09,587.09,220.45,,2424.49,2231.18,2087.52,1893.40,1651.63,1489.22,1301.37,980.75,694.84,460.72,173.10,,2233.39,2121.29,2013.76,1899.12,1660.29,1424.55,1192.85,822.64,593.31,421.90,185.95,,2300.01,2183.89,2007.51,1821.95,1613.97,1413.89,1202.33,860.37,616.21,397.85,137.05,,1871.55,1730.55,1623.91,1508.49,1335.99,1187.32,1039.73,753.12,540.10,344.58,119.24,,1699.65,1560.46,1452.93,1361.77,1206.15,1072.63,943.68,679.79,483.50,303.40,103.83,,1480.82,1328.43,1221.64,1158.73,1020.37,910.09,810.00,569.00,398.75,249.54,85.88,,1260.00,1128.64,1042.96,980.76,856.42,757.09,675.80,445.59,318.44,198.64,67.52,,1080.04,952.39,863.78,801.01,703.82,615.14,539.10,350.86,249.95,153.14,54.19,
河北省,3093.51,2871.91,2646.96,2283.82,1986.63,1698.82,1420.80,1259.96,1030.68,676.68,211.23,,4982.97,4720.64,4383.89,3987.34,3454.02,2945.92,2470.59,1611.54,1119.50,708.64,213.56,,5023.87,4749.74,4342.97,3934.04,3403.56,2897.12,2422.51,1521.85,1051.50,654.09,195.94,,4601.13,4326.88,3929.58,3520.83,3042.11,2584.70,2118.11,1364.59,908.11,557.49,146.96,,4347.05,4112.55,3762.03,3400.12,2962.48,2545.56,2104.86,1369.99,953.89,591.67,177.61,,4476.40,4182.55,3844.95,3438.03,2905.76,2423.13,1963.99,1405.37,961.76,600.17,208.54,,4823.91,4580.23,4228.54,3757.59,3202.03,2702.71,2239.79,1657.59,1167.02,717.94,220.49,,4695.63,4439.84,4066.28,3579.62,3040.55,2551.74,2109.08,1529.36,1072.05,685.10,206.50,,4285.27,3987.97,3569.46,3150.67,2677.18,2265.16,1891.54,1376.09,958.49,619.90,187.46,,4059.72,3781.35,3379.28,2963.08,2523.96,2090.77,1717.82,1199.32,847.63,543.98,164.88,,3445.42,3214.58,2868.41,2517.49,2150.03,1779.67,1478.55,1020.87,728.68,455.53,145.10,,3086.52,2912.34,2602.85,2286.83,1949.86,1621.90,1370.88,944.93,645.31,412.98,125.05,,3069.55,2876.36,2593.97,2334.79,2010.86,1723.44,1432.41,987.25,687.42,428.57,63.50,
山西省,1751.49,1638.90,1519.27,1392.73,1176.24,1016.48,848.92,561.11,428.10,280.71,93.66,,1764.20,1650.54,1526.20,1392.17,1169.47,1021.82,844.48,551.01,420.25,274.11,87.21,,1945.23,1816.45,1670.51,1513.32,1289.74,1110.07,915.32,584.20,406.11,251.43,77.86,,1830.36,1708.94,1559.94,1379.81,1155.53,990.99,815.24,512.11,329.15,195.06,60.37,,1656.50,1521.96,1391.15,1240.17,1073.28,916.53,753.27,495.42,324.58,197.09,60.73,,1376.59,1267.76,1167.14,1055.66,921.22,771.15,642.19,420.38,274.39,161.73,47.49,,1166.28,1087.17,1005.83,918.58,807.82,711.02,568.07,379.49,251.77,142.13,41.53,,1597.35,1449.83,1292.16,1142.36,950.23,750.66,556.87,366.46,228.24,131.77,37.51,,1494.87,1356.95,1187.38,1034.18,856.10,682.92,523.63,338.91,196.78,115.10,33.90,,1403.55,1221.34,1070.46,923.73,748.23,585.28,440.59,284.87,166.91,95.88,26.85,,1308.63,1127.96,972.47,826.43,667.67,532.84,413.93,261.24,154.10,80.43,21.04,,1010.45,847.72,740.08,637.50,523.44,416.78,320.11,202.50,124.76,65.37,16.34,,789.92,655.96,573.59,494.83,411.73,330.64,250.72,159.29,99.69,53.47,12.06,
内蒙古自治区,963.37,927.35,867.54,799.29,665.64,548.78,435.77,264.71,164.15,101.22,32.31,,978.28,946.08,890.33,818.88,679.88,550.62,431.71,260.29,155.90,95.81,29.87,,1234.13,1192.97,1098.30,967.11,800.77,627.48,471.95,299.94,176.61,79.78,18.15,,1176.48,1154.96,1063.45,927.33,725.73,562.10,390.85,224.71,117.01,46.46,5.61,,1041.95,1026.08,957.60,851.48,677.94,520.28,361.00,210.34,110.78,46.44,5.61,,882.85,875.14,827.04,744.38,605.64,483.99,341.22,185.27,93.35,39.61,8.19,,889.72,905.98,863.43,757.22,616.22,496.21,373.14,216.13,107.49,40.38,7.59,,1133.48,1121.36,1026.34,889.67,709.32,554.72,406.84,200.30,97.21,36.81,7.32,,1081.05,1066.45,996.52,865.76,690.58,555.84,401.62,195.61,88.07,38.29,9.66,,1370.88,1356.67,1240.67,1047.41,842.20,631.13,455.54,259.18,123.61,37.13,7.76,,1479.01,1438.05,1334.09,1116.42,880.52,673.09,495.24,261.73,119.15,40.50,5.51,,1291.44,1263.67,1174.45,1006.57,821.88,605.00,442.14,256.44,111.97,34.11,1.53,,1650.02,1633.40,1526.61,1350.97,1102.16,838.77,604.51,311.13,137.09,34.53,0.15,
辽宁省,1744.75,1663.53,1540.85,1421.94,1238.97,1079.64,955.25,683.46,506.14,352.32,124.67,,2362.00,2274.12,2141.74,1980.49,1678.13,1451.19,1246.91,831.49,577.74,382.74,149.55,,2900.72,2789.61,2634.74,2433.78,2121.36,1847.62,1601.60,1087.81,770.08,484.58,137.83,,2978.86,2885.63,2687.14,2407.82,2041.85,1746.66,1477.59,997.87,700.45,402.32,110.20,,2833.95,2763.92,2602.83,2372.82,2040.24,1769.68,1487.19,992.73,713.30,473.64,132.81,,2599.27,2502.16,2365.28,2169.20,1883.46,1616.73,1364.53,971.56,651.76,388.47,119.84,,2289.67,2261.15,2152.56,1955.70,1681.09,1418.83,1181.81,837.19,600.61,393.43,143.47,,2094.85,2077.45,2045.46,1966.54,1827.47,1654.84,1439.52,1062.90,722.16,439.34,145.93,,3558.64,3532.10,3469.91,3284.43,2975.13,2579.40,2101.66,1377.82,840.85,476.01,161.07,,5301.31,5178.28,4923.07,4495.71,3947.96,3448.67,2880.53,1816.11,1129.93,626.40,178.24,,6450.75,6159.38,5630.78,5023.41,4090.03,3433.75,2721.15,1663.22,913.73,503.18,143.82,,5455.82,5126.00,4659.37,4057.88,3371.29,2776.09,2242.78,1282.19,718.50,392.01,111.20,,4487.56,4198.79,3835.79,3397.59,2818.69,2335.68,1870.46,1044.52,589.68,312.05,91.68,
吉林省,823.82,782.05,729.68,663.46,539.92,428.29,349.48,172.88,89.18,55.91,22.92,,1014.84,989.27,951.37,879.72,723.41,565.90,395.72,245.49,76.24,42.20,21.09,,1540.92,1514.77,1431.33,1294.43,1072.57,861.56,653.72,435.97,184.49,69.41,18.36,,1460.78,1433.12,1329.98,1167.51,966.52,749.89,545.28,356.50,130.01,46.57,11.67,,1315.52,1263.37,1164.14,1014.42,830.40,633.50,477.49,319.06,118.86,45.90,11.88,,1175.88,1129.86,1007.45,869.32,696.86,532.86,375.96,253.72,98.33,35.78,10.44,,910.14,868.30,787.66,676.66,549.78,433.80,321.28,193.65,87.30,33.05,10.12,,1016.76,969.24,887.76,752.06,571.97,423.97,297.46,184.55,85.56,29.72,9.36,,924.24,875.72,760.96,654.49,545.97,409.06,243.43,143.10,67.39,25.37,9.74,,1030.13,974.68,842.26,707.91,551.17,412.55,268.29,148.82,67.16,22.87,8.97,,1252.43,1213.30,1019.79,866.27,664.66,515.61,351.80,175.35,77.37,30.52,13.36,,1310.03,1223.39,1075.48,935.27,750.69,579.30,417.16,187.91,45.44,7.55,4.42,,1165.39,1150.95,1096.49,943.99,739.90,576.43,432.18,144.31,34.92,4.12,,
黑龙江省,456.96,429.99,394.30,352.68,290.53,247.60,208.55,123.47,69.96,33.37,3.10,,628.64,594.22,544.67,490.32,417.85,339.92,268.05,137.50,67.67,32.11,2.61,,935.97,894.43,808.11,702.91,543.65,442.80,345.90,178.93,84.50,32.87,2.09,,982.92,926.67,816.48,698.01,545.33,419.38,303.00,149.85,69.56,21.21,1.17,,958.01,911.31,811.68,705.75,546.93,441.79,339.17,184.46,82.38,27.06,2.02,,944.40,901.51,807.38,686.83,533.88,414.28,303.77,171.94,76.73,24.69,2.04,,815.60,770.54,677.21,564.22,424.58,326.26,233.63,134.72,58.77,16.91,2.57,,864.84,800.15,699.39,585.49,466.90,378.28,281.38,140.96,57.36,16.94,3.70,,992.15,917.00,800.00,678.53,547.47,438.24,332.86,157.43,58.50,16.92,5.42,,1324.09,1236.91,1092.08,898.50,701.72,558.51,415.01,189.14,78.26,26.08,5.01,,1604.83,1454.74,1253.56,1048.49,840.44,645.90,454.13,254.52,115.25,34.76,8.53,,1535.84,1343.51,1196.83,999.49,805.32,568.46,378.21,198.34,82.99,27.20,8.29,,1219.37,1011.80,893.39,752.00,578.71,430.17,296.62,135.33,55.81,10.60,1.02,
上海市,5885.79,5208.23,4630.84,4092.04,3597.15,3109.01,2559.47,2103.77,1671.65,1250.15,851.46,,4979.54,4349.33,3791.33,3264.77,2770.24,2328.77,1861.13,1495.01,1286.94,1100.44,818.96,,5035.18,4499.32,4032.65,3569.93,3109.88,2669.26,2245.45,1823.64,1429.65,1072.09,740.44,,4698.75,4135.69,3691.98,3261.74,2835.66,2419.10,2014.54,1594.11,1194.78,859.97,575.37,,4231.38,3749.96,3348.76,2966.42,2584.23,2230.30,1883.14,1536.63,1230.08,937.11,626.88,,4033.18,3573.56,3201.44,2853.66,2491.14,2153.97,1816.91,1478.17,1182.39,909.39,605.44,,3856.53,3412.34,3054.15,2709.62,2364.85,2057.67,1753.81,1434.97,1135.52,869.62,550.01,,3709.03,3313.65,2944.84,2581.52,2262.37,1962.44,1685.31,1348.67,1060.21,800.50,499.81,,3468.94,3126.34,2721.04,2375.06,2085.67,1835.45,1550.02,1220.14,950.41,713.02,453.08,,3206.48,2894.90,2498.37,2175.50,1875.03,1606.57,1338.01,1095.72,826.58,628.59,399.23,,2819.59,2565.24,2279.69,2010.21,1752.98,1493.33,1268.87,1015.58,787.85,575.20,380.17,,2381.36,2150.07,1894.65,1664.86,1449.04,1231.57,1042.43,821.12,613.18,471.81,315.86,,2170.31,1995.79,1747.00,1483.65,1288.83,1112.47,924.80,760.79,613.63,468.40,288.43,
江苏省,11891.28,11281.17,10445.15,9527.02,8529.82,7649.56,6654.68,5440.59,4232.76,3071.72,1741.83,,12406.88,11741.21,10845.13,9862.62,8765.33,7825.37,6809.74,5546.52,4262.06,3121.94,1798.18,,13477.45,12709.14,11678.12,10596.20,9430.99,8407.05,7245.89,5834.99,4483.13,3220.98,1800.52,,13171.27,12253.39,11166.03,10052.70,8777.61,7509.01,6277.38,4964.94,3790.40,2717.82,1333.97,,12009.35,11202.58,10226.99,9239.16,8139.47,7150.06,6090.86,4927.49,3803.35,2732.10,1511.82,,10982.34,10300.57,9447.66,8625.22,7580.55,6699.18,5653.34,4632.74,3526.89,2603.65,1467.79,,9629.11,8877.99,8112.45,7333.46,6446.31,5658.05,4847.89,3884.43,2952.29,2176.34,1277.40,,8956.37,8263.69,7482.23,6686.54,5875.31,5201.29,4498.91,3527.64,2687.58,1981.54,1161.49,,8153.68,7543.89,6900.07,6251.52,5493.04,4843.78,4161.83,3240.39,2497.85,1846.58,1115.44,,8240.22,7511.03,6750.93,6072.11,5300.37,4597.95,3939.45,3149.26,2409.03,1769.58,1017.76,,7241.45,6460.64,5756.10,5202.64,4592.18,4001.92,3386.35,2701.82,2051.45,1476.67,857.09,,6206.10,5553.56,4979.22,4502.88,3996.98,3450.85,2902.25,2291.73,1764.34,1306.63,755.93,,5552.69,4926.19,4451.68,3951.27,3444.96,2981.70,2496.72,1994.99,1533.80,1094.96,605.98,
浙江省,13197.92,12325.71,11192.80,10071.27,8759.03,7571.12,6466.01,4934.30,3760.78,2691.53,1539.63,,12939.52,12118.75,11006.17,9900.27,8610.37,7460.25,6363.39,4850.12,3697.41,2653.04,1526.64,,12389.11,11612.60,10517.71,9424.16,8176.08,7082.65,6036.81,4591.69,3469.84,2443.54,1395.80,,11413.66,10634.57,9567.25,8536.70,7321.73,6300.79,5308.84,3993.30,2968.37,2044.65,1089.48,,10682.97,9958.10,8984.13,8055.48,6960.02,6043.04,5166.87,3921.19,2965.27,2133.88,1205.26,,9944.93,9271.70,8325.59,7454.97,6462.62,5610.39,4795.03,3569.37,2664.73,1899.54,1010.54,,8226.78,7569.48,6798.75,6043.05,5197.42,4505.42,3861.39,2926.82,2210.81,1590.98,862.04,,7469.37,6810.04,6139.67,5442.65,4726.50,4085.63,3504.00,2654.65,2017.25,1457.37,789.48,,7111.93,6538.63,5969.06,5399.61,4703.49,4133.42,3530.71,2679.03,2024.58,1481.83,845.89,,7262.38,6671.09,5878.77,5312.65,4594.47,3943.76,3307.23,2513.69,1883.95,1337.35,757.04,,6216.25,5497.28,4974.46,4475.38,3853.21,3342.09,2832.86,2151.26,1645.46,1192.19,676.78,,5226.27,4747.21,4282.16,3792.09,3269.38,2803.97,2335.10,1790.97,1327.01,960.32,530.89,,4137.25,3654.13,3210.88,2858.59,2443.39,2050.56,1736.83,1351.48,1023.12,672.02,407.62,
安徽省,4659.36,4395.81,4100.95,3804.59,3421.26,3016.70,2628.76,2236.29,1850.95,1327.62,725.59,,6811.72,6410.89,5993.06,5528.31,4911.40,4273.66,3706.64,2941.28,2184.03,1524.18,806.54,,7263.22,6815.40,6364.54,5864.89,5206.38,4522.00,3834.63,3025.30,2234.27,1498.11,783.86,,7042.29,6471.36,5966.08,5456.26,4796.78,4095.35,3450.26,2638.71,1920.80,1216.53,569.59,,6670.48,6160.13,5722.98,5278.95,4671.79,4022.94,3387.07,2640.37,1945.61,1315.92,706.07,,5974.11,5538.02,5161.66,4748.56,4208.32,3623.83,3067.76,2405.60,1782.42,1222.83,650.86,,5612.47,5075.51,4594.42,4085.37,3495.25,2955.72,2503.80,1966.51,1464.29,997.49,535.17,,4603.56,4150.00,3779.47,3379.30,2968.28,2580.50,2191.46,1710.04,1287.56,915.60,499.84,,4424.86,4005.21,3647.77,3272.44,2821.36,2411.68,2016.99,1560.55,1166.34,842.44,477.95,,4338.96,3953.65,3577.70,3178.20,2737.14,2317.80,1965.92,1491.11,1097.47,787.99,473.42,,3946.23,3618.25,3215.67,2875.58,2488.97,2065.68,1757.55,1372.86,1002.86,700.25,392.76,,3151.61,2894.60,2572.61,2314.40,2011.96,1669.94,1436.04,1127.08,863.07,609.88,375.18,,2590.07,2409.70,2244.26,2022.19,1747.15,1467.82,1218.28,921.23,660.86,482.72,301.40,
福建省,4403.37,4164.11,3859.75,3542.32,3137.67,2814.04,2455.90,1953.36,1668.09,1291.53,702.86,,5515.45,5243.91,4864.37,4480.49,3976.20,3590.34,3147.54,2527.83,2020.87,1506.89,767.20,,6195.61,5839.79,5319.14,4870.60,4260.80,3843.75,3319.66,2633.56,2019.89,1466.75,734.92,,6026.80,5581.01,5107.68,4605.14,3966.27,3452.16,2905.65,2254.12,1661.61,1132.93,525.24,,5673.13,5252.96,4773.63,4303.23,3730.74,3290.83,2826.90,2260.03,1796.77,1306.38,648.82,,4940.34,4522.27,4112.24,3685.11,3186.28,2804.84,2404.92,1898.48,1502.59,1109.32,550.79,,4794.23,4385.97,3989.10,3539.09,3098.12,2714.79,2365.93,1797.84,1423.98,1076.52,548.97,,4588.83,4208.41,3803.28,3455.77,3044.95,2656.53,2316.04,1813.60,1418.82,1095.46,596.15,,4469.61,4156.52,3774.85,3452.32,2996.55,2652.93,2331.99,1761.71,1361.33,1044.23,596.69,,4567.40,4163.64,3750.67,3393.94,2954.35,2590.83,2224.14,1646.21,1223.79,866.62,492.09,,3702.97,3341.39,2980.46,2693.36,2333.63,2046.06,1790.48,1333.12,996.27,700.39,368.65,,2824.12,2495.18,2225.10,2016.11,1742.93,1520.24,1335.94,1036.70,776.14,586.87,283.01,,2402.61,2156.19,1936.43,1728.91,1439.06,1234.50,1064.22,766.91,563.02,395.56,208.68,
江西省,1580.70,1524.48,1446.50,1357.63,1214.43,1122.16,1025.32,830.58,650.44,469.50,262.44,,2209.27,2073.76,1931.16,1766.53,1545.21,1333.84,1127.02,927.23,728.04,508.07,278.20,,2528.83,2364.11,2196.51,2006.17,1740.28,1465.24,1210.66,960.94,723.70,499.55,268.17,,2378.08,2204.51,1996.28,1794.64,1546.58,1294.38,1063.75,836.40,626.91,424.19,223.99,,2239.11,2083.23,1895.22,1709.74,1477.49,1247.72,1025.11,816.08,623.90,440.90,241.04,,2174.93,2019.53,1818.39,1620.73,1378.77,1173.11,973.01,750.06,569.87,405.50,226.95,,2013.98,1839.79,1660.02,1479.97,1265.73,1083.58,906.41,706.41,530.78,386.59,217.04,,1770.94,1605.23,1437.48,1282.65,1091.37,919.41,768.30,596.67,440.47,312.36,189.66,,1520.10,1380.53,1228.10,1089.79,920.63,768.78,641.06,486.41,377.44,273.11,166.46,,1322.49,1199.29,1067.21,951.63,803.58,677.36,558.56,430.18,338.38,244.92,149.16,,1174.58,1060.26,929.90,829.05,704.57,596.83,505.12,404.48,298.88,217.07,130.36,,969.62,875.52,784.06,701.73,589.43,507.23,431.08,339.82,248.30,165.37,87.70,,852.69,742.89,684.15,617.56,537.01,465.07,371.10,271.09,194.98,124.65,65.05,
